,TEAM,SAVES,RUNS,HOMERUNS,STRIKEOUTS
0,ARI,44,713,182,1215
1,ATL,44,760,170,1148
2,BAL,43,693,174,1233
3,BOS,40,753,178,1218
4,CHC,48,608,134,1431
5,CHW,37,701,162,1359
6,CIN,35,754,177,1252
7,CLE,38,640,161,1407
8,COL,36,844,183,1112
9,DET,35,803,193,1100
10,HOU,39,618,148,1280
11,KCR,56,641,155,1160
12,LAA,46,675,166,1221
13,LAD,47,595,145,1396
14,MIA,35,678,141,1152
15,MIL,40,737,176,1260
16,MIN,45,700,163,1046
17,NYM,50,613,152,1337
18,NYY,48,698,182,1370
19,OAK,28,729,172,1179
20,PHI,35,809,191,1153
21,PIT,54,596,110,1338
22,SDP,41,731,171,1393
23,SEA,45,726,181,1283
24,SFG,41,627,155,1165
25,STL,62,525,123,1329
26,TBR,60,642,175,1355
27,TEX,45,733,171,1095
28,TOR,34,670,173,1117
29,WSN,41,635,145,1342
