Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,49,3.98,0.698,162,1458,1119,13167,6150,4389,1686,75,152,0.988,32,3,148,9
ATL,57,4.06,0.709,162,1458,1166,13110,5889,4370,1439,80,134,0.986,33,3,67,3
BAL,56,5.51,0.674,162,1458,1112,12879,5934,4293,1537,104,159,0.982,-48,-5,-78,-4
BOS,43,3.99,0.693,162,1458,1127,13128,5819,4376,1366,77,106,0.987,35,3,-18,-1
CHC,50,3.96,0.7,163,1467,933,13287,6208,4429,1675,104,155,0.983,71,6,52,2
CHW,51,5.23,0.69,162,1458,1156,12933,5856,4311,1431,114,135,0.981,-50,-5,-61,-6
CIN,53,5.06,0.685,162,1458,1084,12969,6026,4323,1608,95,144,0.984,-40,-4,6,0
CLE,48,4,0.688,162,1458,1064,13116,5808,4372,1353,83,123,0.986,-6,-1,29,0
COL,41,4.57,0.688,163,1467,1140,13071,6055,4357,1624,74,162,0.988,28,3,9,0
DET,49,4.91,0.694,162,1458,1205,12828,5799,4276,1428,95,126,0.984,11,1,20,-1
HOU,41,3.3,0.705,162,1458,1014,13095,5797,4365,1369,63,116,0.989,37,3,36,1
KCR,49,5.14,0.68,162,1458,1234,12888,5902,4296,1529,77,142,0.987,-7,-1,13,0
LAA,60,4.46,0.693,162,1458,1083,12936,5890,4312,1502,76,173,0.987,30,3,47,1
LAD,52,3.74,0.698,163,1467,910,13284,5963,4428,1435,100,111,0.983,8,1,41,0
MIA,51,5.02,0.697,161,1449,980,12978,5857,4326,1448,83,133,0.986,-6,-1,29,0
MIL,53,4.04,0.704,163,1467,959,13149,5944,4383,1453,108,141,0.982,45,4,107,4
MIN,54,4.78,0.682,162,1458,1137,12990,5881,4330,1454,97,127,0.984,-22,-2,25,-2
NYM,56,4.36,0.691,162,1458,1136,13146,5876,4382,1406,88,121,0.985,-47,-4,-69,-1
NYY,49,4.13,0.684,162,1458,1155,13107,5807,4369,1344,94,95,0.984,-50,-5,23,0
OAK,53,4.16,0.717,162,1458,1116,13191,6080,4397,1594,89,125,0.985,40,4,54,1
PHI,48,4.49,0.677,162,1458,1092,13011,5938,4337,1478,123,138,0.979,-57,-5,-118,-6
PIT,47,4.3,0.686,161,1449,1136,12906,5884,4302,1477,105,129,0.982,-16,-1,-10,-1
SDP,49,4.73,0.68,162,1458,1092,13113,6010,4371,1539,100,127,0.983,-19,-2,38,2
SEA,53,4.39,0.691,162,1458,1099,13038,5920,4346,1486,88,152,0.985,4,0,-18,0
SFG,48,4.31,0.692,162,1458,1111,13152,6086,4384,1605,97,160,0.984,10,1,29,1
STL,49,4.27,0.685,162,1458,1031,13098,6039,4366,1540,133,151,0.978,-6,-1,22,0
TBR,54,3.99,0.708,162,1458,1101,13035,5913,4345,1483,85,136,0.986,61,6,57,0
TEX,50,5.23,0.682,162,1458,1149,12879,5971,4293,1558,120,168,0.98,15,1,3,1
TOR,63,5.14,0.678,162,1458,1116,12903,5849,4301,1447,101,138,0.983,-57,-5,-87,-1
WSN,53,4.21,0.703,162,1458,1077,13014,5765,4338,1363,64,115,0.989,-22,-2,-36,0
LgAvg,46,4.45,0.691,162,1459,1094,13047,5931,4349,1489,93,136,0.984,0,0,12,0
,1376,4.45,0.691,4862,43758,32834,391401,177916,130467,44657,2792,4094,0.984,8,0,360,0
